,size,diameter,mean_RMSD
cluster0,3,1.5594425220910109,1.1644735851776666
cluster1,3,1.7853569613763016,1.4107019254467967
cluster2,1,0.0,
cluster3,3,0.7890618777227854,0.5964087605573422
global,10,2.239880977609482,1.5495478159168594
centers,4,2.239880977609482,1.7749359722917568
